Timeline Trace
Generated on: 2023-01-15 20:28:39
Msec since Epoch: 1673785719821
Profiled application: host
Target platform: Xilinx
Tool version: 2019.2
XRT build version: 2.3.1301
Build version branch: 2019.2
Build version hash: 192e706aea53163a04c574f9b3fe9ed76b6ca471
Build version date: 2019-10-25 03:04:42


Time_msec,Name,Event,Address_Port,Size,Latency_cycles,Start_cycles,End_cycles,Latency_usec,Start_msec,End_msec,
17.268272,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,0,
17.304871,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,1,
17.311404,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,1,
17.315351,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,0,
17.32019,clGetExtensionFunctionAddress|General,START,,,,,,,,,,,2,
17.324238,clGetExtensionFunctionAddressForPlatform|General,START,,,,,,,,,,,3,
17.328215,clGetExtensionFunctionAddressForPlatform|General,END,,,,,,,,,,,3,
17.331632,clGetExtensionFunctionAddress|General,END,,,,,,,,,,,2,
17.336882,clGetPlatformInfo|General,START,,,,,,,,,,,4,
17.341401,clGetPlatformInfo|General,END,,,,,,,,,,,4,
17.344937,clGetPlatformInfo|General,START,,,,,,,,,,,5,
17.348464,clGetPlatformInfo|General,END,,,,,,,,,,,5,
17.35677,clGetPlatformInfo|General,START,,,,,,,,,,,6,
17.360497,clGetPlatformInfo|General,END,,,,,,,,,,,6,
17.363913,clGetPlatformInfo|General,START,,,,,,,,,,,7,
17.36737,clGetPlatformInfo|General,END,,,,,,,,,,,7,
17.370746,clGetPlatformInfo|General,START,,,,,,,,,,,8,
17.374363,clGetPlatformInfo|General,END,,,,,,,,,,,8,
17.377729,clGetPlatformInfo|General,START,,,,,,,,,,,9,
17.381166,clGetPlatformInfo|General,END,,,,,,,,,,,9,
17.384582,clGetPlatformInfo|General,START,,,,,,,,,,,10,
17.388169,clGetPlatformInfo|General,END,,,,,,,,,,,10,
17.391556,clGetPlatformInfo|General,START,,,,,,,,,,,11,
17.395022,clGetPlatformInfo|General,END,,,,,,,,,,,11,
17.398479,clGetPlatformInfo|General,START,,,,,,,,,,,12,
17.402106,clGetPlatformInfo|General,END,,,,,,,,,,,12,
17.405572,clGetPlatformInfo|General,START,,,,,,,,,,,13,
17.409009,clGetPlatformInfo|General,END,,,,,,,,,,,13,
17.412455,clGetPlatformInfo|General,START,,,,,,,,,,,14,
17.415932,clGetPlatformInfo|General,END,,,,,,,,,,,14,
17.419308,clGetPlatformInfo|General,START,,,,,,,,,,,15,
17.422775,clGetPlatformInfo|General,END,,,,,,,,,,,15,
17.437122,clGetPlatformInfo|General,START,,,,,,,,,,,16,
17.440779,clGetPlatformInfo|General,END,,,,,,,,,,,16,
17.445879,clGetPlatformInfo|General,START,,,,,,,,,,,17,
17.449375,clGetPlatformInfo|General,END,,,,,,,,,,,17,
17.484723,clGetDeviceIDs|General,START,,,,,,,,,,,18,
17.496755,clGetDeviceIDs|General,END,,,,,,,,,,,18,
17.502166,clGetDeviceIDs|General,START,,,,,,,,,,,19,
17.507185,clGetDeviceIDs|General,END,,,,,,,,,,,19,
17.515942,clRetainDevice|General,START,,,,,,,,,,,20,
17.521502,clRetainDevice|General,END,,,,,,,,,,,20,
17.527404,clRetainDevice|General,START,,,,,,,,,,,21,
17.532223,clRetainDevice|General,END,,,,,,,,,,,21,
17.538084,clCreateContext|General,START,,,,,,,,,,,22,
17.548373,clCreateContext|General,END,,,,,,,,,,,22,
17.555787,clCreateCommandQueue|General,START,,,,,,,,,,,23,
17.563211,clCreateCommandQueue|General,END,,,,,,,,,,,23,
17.56777,clGetDeviceInfo|General,START,,,,,,,,,,,24,
17.572309,clGetDeviceInfo|General,END,,,,,,,,,,,24,
17.576266,clGetDeviceInfo|General,START,,,,,,,,,,,25,
17.581015,clGetDeviceInfo|General,END,,,,,,,,,,,25,
43.769375,clRetainDevice|General,START,,,,,,,,,,,26,
43.810102,clRetainDevice|General,END,,,,,,,,,,,26,
43.816714,clRetainDevice|General,START,,,,,,,,,,,27,
43.820592,clRetainDevice|General,END,,,,,,,,,,,27,
43.837163,clCreateProgramWithBinary|General,START,,,,,,,,,,,28,
98.063872,clCreateProgramWithBinary|General,END,,,,,,,,,,,28,
98.090022,clReleaseDevice|General,START,,,,,,,,,,,29,
98.096815,clReleaseDevice|General,END,,,,,,,,,,,29,
98.101283,clReleaseDevice|General,START,,,,,,,,,,,30,
98.105451,clReleaseDevice|General,END,,,,,,,,,,,30,
98.155797,clCreateKernel|General,START,,,,,,,,,,,31,
99.091643,clCreateKernel|General,END,,,,,,,,,,,31,
99.101371,clCreateBuffer|General,START,,,,,,,,,,,32,
99.112382,clCreateBuffer|General,END,,,,,,,,,,,32,
99.11633,clCreateBuffer|General,START,,,,,,,,,,,33,
99.120598,clCreateBuffer|General,END,,,,,,,,,,,33,
99.12725,clSetKernelArg|General,START,,,,,,,,,,,34,
99.148801,clSetKernelArg|General,END,,,,,,,,,,,34,
99.152739,clSetKernelArg|General,START,,,,,,,,,,,35,
99.160093,clSetKernelArg|General,END,,,,,,,,,,,35,
114.274787,clRetainMemObject|General,START,,,,,,,,,,,36,
114.292791,clRetainMemObject|General,END,,,,,,,,,,,36,
114.298983,clRetainMemObject|General,START,,,,,,,,,,,37,
114.304794,clRetainMemObject|General,END,,,,,,,,,,,37,
114.314152,clEnqueueMigrateMemObjects|36509296,START,,,,,,,,,,,38,
114.348717,WRITE_BUFFER,QUEUE,0X0|HBM[0],24640,,,,,,,,,
114.36583,WRITE_BUFFER,SUBMIT,0X0|HBM[0],24640,,,,,,,,,
114.38705,clEnqueueMigrateMemObjects|36509296,END,,,,,,,,,,,38,
114.392971,clReleaseMemObject|General,START,,,,,,,,,,,39,
114.39767,clReleaseMemObject|General,END,,,,,,,,,,,39,
114.401648,clReleaseMemObject|General,START,,,,,,,,,,,40,
114.405585,clReleaseMemObject|General,END,,,,,,,,,,,40,
114.421866,clEnqueueTask|36509296,START,,,,,,,,,,,41,
114.438177,DEPENDENCY_EVENT,,0,1,
114.446192,WRITE_BUFFER,QUEUE,0X0|HBM[0],24640,,,,,,,,,
114.454758,DEPENDENCY_EVENT,,1,2,
114.462854,WRITE_BUFFER,START,0X0|HBM[0]|0X7f594bd4d700,24640,,,,,,,0,1,
114.500746,DEPENDENCY_EVENT,,1,2,
114.511566,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,QUEUE,0X22E1790,1,,,,,,,,,
114.5241,clEnqueueTask|36509296,END,,,,,,,,,,,41,
114.541102,clRetainMemObject|General,START,,,,,,,,,,,42,
114.547825,clRetainMemObject|General,END,,,,,,,,,,,42,
114.553897,clRetainMemObject|General,START,,,,,,,,,,,43,
114.559247,clRetainMemObject|General,END,,,,,,,,,,,43,
114.566621,clEnqueueMigrateMemObjects|36509296,START,,,,,,,,,,,44,
114.576479,DEPENDENCY_EVENT,,2,3,
114.581108,READ_BUFFER,QUEUE,0X10000000|HBM[1],20,,,,,,,,,
114.592219,clEnqueueMigrateMemObjects|36509296,END,,,,,,,,,,,44,
114.59777,clReleaseMemObject|General,START,,,,,,,,,,,45,
114.604783,clReleaseMemObject|General,END,,,,,,,,,,,45,
114.572281,WRITE_BUFFER,END,0X0|HBM[0]|0X7f594bd4d700,24640,,,,,,,0,1,
114.609642,clReleaseMemObject|General,START,,,,,,,,,,,46,
114.658034,clReleaseMemObject|General,END,,,,,,,,,,,46,
114.651181,WRITE_BUFFER,SUBMIT,0X0|HBM[0],24640,,,,,,,,,
114.6663,clFinish|General,START,,,,,,,,,,,47,
114.677301,WRITE_BUFFER,END,0X0|HBM[0]|0X7f594bd4d700,24640,,,,,,,1,2|2,
114.704112,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,SUBMIT,0X22E1790,1,,,,,,,,,
114.719932,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,START,0X22E1790,1,,,,,,,2,3,
116.52638,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,END,0X22E1790,1,,,,,,,2,3,
116.572247,READ_BUFFER,SUBMIT,0X10000000|HBM[1],20,,,,,,,,,
116.593758,READ_BUFFER,START,0X10000000|HBM[1]|0X7f594c54e700,20,,,,,,,3,None,
116.638402,READ_BUFFER,END,0X10000000|HBM[1]|0X7f594c54e700,20,,,,,,,3,None,
116.655926,clFinish|General,END,,,,,,,,,,,47,
116.676665,clGetEventProfilingInfo|General,START,,,,,,,,,,,48,
116.6845,clGetEventProfilingInfo|General,END,,,,,,,,,,,48,
116.68966,clGetEventProfilingInfo|General,START,,,,,,,,,,,49,
116.69527,clGetEventProfilingInfo|General,END,,,,,,,,,,,49,
116.955775,clReleaseEvent|General,START,,,,,,,,,,,50,
116.96899,clReleaseEvent|General,END,,,,,,,,,,,50,
131.968365,clRetainMemObject|General,START,,,,,,,,,,,51,
131.982001,clRetainMemObject|General,END,,,,,,,,,,,51,
131.988383,clRetainMemObject|General,START,,,,,,,,,,,52,
131.993573,clRetainMemObject|General,END,,,,,,,,,,,52,
131.997941,clEnqueueMigrateMemObjects|36509296,START,,,,,,,,,,,53,
132.006127,WRITE_BUFFER,QUEUE,0X0|HBM[0],24640,,,,,,,,,
132.013741,WRITE_BUFFER,SUBMIT,0X0|HBM[0],24640,,,,,,,,,
132.021897,clEnqueueMigrateMemObjects|36509296,END,,,,,,,,,,,53,
132.026816,clReleaseMemObject|General,START,,,,,,,,,,,54,
132.031385,clReleaseMemObject|General,END,,,,,,,,,,,54,
132.037987,clReleaseMemObject|General,START,,,,,,,,,,,55,
132.041594,clReleaseMemObject|General,END,,,,,,,,,,,55,
132.033008,WRITE_BUFFER,START,0X0|HBM[0]|0X7f594ad4b700,24640,,,,,,,4,None,
132.056362,clEnqueueTask|36509296,START,,,,,,,,,,,56,
132.118139,DEPENDENCY_EVENT,,4,5,
132.123209,DEPENDENCY_EVENT,,5,6,
132.129431,DEPENDENCY_EVENT,,5,6,
132.134641,KERNEL|xilinx_u50_xdma_201920_1-0|alveo_hls4ml|alveo_hls4ml|1:1:1|all,QUEUE,0X22E1790,1,,,,,,,,,
132.145141,clEnqueueTask|36509296,END,,,,,,,,,,,56,
132.147265,WRITE_BUFFER,END,0X0|HBM[0]|0X7f594ad4b700,24640,,,,,,,4,5,
132.158115,clRetainMemObject|General,START,,,,,,,,,,,57,
132.179897,clRetainMemObject|General,END,,,,,,,,,,,57,
